-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,1.8925,1.5257,0.67776,1.8011,1.2707,1.5339,0.92037,1.3251,0.98464,1.3517,1.7814,1.4045,0,0,0,0
2,1.3478,0.99749,0.32086,1.2577,0.64354,1.0434,0.42987,0.92852,0.664,0.94722,1.2529,0.92887,0,0,0,0
3,0.86614,0.69606,0.51138,0.64431,0.76233,0.56414,0.4356,0.5486,0.82879,0.53256,1.2348,0.95466,0,0,0,0
4,0.9225,0.50347,0.30276,0.40123,0.37316,0.57654,0.5049,0.48652,0.33788,0.33572,0.8638,0.84526,0,0,0,0
5,1.2875,1.5138,0.85794,1.2246,1.49,1.1976,1.1519,1.0726,1.325,1.0124,1.6027,1.5814,0,0,0,0
6,2.9174,2.4547,1.4361,2.9706,2.2731,2.6351,1.2486,1.8216,1.9062,1.8529,2.6971,2.5695,0,0,0,0
7,2.9071,2.4622,1.3233,2.5657,2.1539,2.4548,1.4668,2.0407,1.6921,1.877,2.6985,2.6341,0,0,0,0
8,2.094,1.2561,0.51477,1.4528,1.3396,1.3631,0.9044,1.1338,1.3775,0.99368,2.001,1.096,0,0,0,0
9,0.64103,0.34058,0.23833,0.30515,0.26828,0.35761,0.31848,0.31267,0.2766,0.26021,0.53673,0.56664,0,0,0,0
10,1.9741,1.101,0.60343,1.9782,1.2359,1.7229,0.5406,1.0714,0.59839,0.91849,1.9576,1.4586,0,0,0,0
11,3.1269,2.9418,1.9396,2.9928,2.6486,3.0166,2.0602,2.1468,2.2582,2.1105,2.9045,3.0606,0,0,0,0
12,1.5741,1.644,0.8079,1.5228,1.6209,1.4091,1.17,1.3009,1.4588,0.99941,1.7742,1.5877,0,0,0,0
13,3.7001,3.8121,3.0124,2.6385,3.0307,3.5873,2.6705,2.6884,3.1487,2.7976,3.5826,3.9949,0,0,0,0
14,1.9631,1.2959,0.6742,1.2272,1.0279,1.4572,0.62727,0.938,0.90143,0.85373,1.8066,1.3191,0,0,0,0
15,2.0985,1.7559,0.80824,2.0614,1.425,1.708,1.0005,1.4746,1.0913,1.3695,2.0305,1.6933,0,0,0,0
16,0.90213,0.78312,0.4352,0.80213,0.53978,0.71667,0.53564,0.63486,0.51438,0.59408,0.78129,0.78573,0,0,0,0
17,2.2608,1.4797,0.79197,1.5952,1.2335,1.4678,0.71469,1.2041,1.2323,0.95227,2.0171,1.272,0,0,0,0
18,0.93181,0.75595,0.40842,0.7067,0.52225,0.65095,0.44709,0.62648,0.50113,0.55835,0.79389,0.87618,0,0,0,0
19,0.64643,0.52045,0.29205,0.44154,0.3556,0.45439,0.38776,0.41161,0.33433,0.3296,0.54154,0.67562,0,0,0,0
20,0.71746,0.68404,0.43277,0.62926,0.79518,0.75444,0.39742,0.47612,0.75251,0.52828,1.2083,0.92513,0,0,0,0
21,1.6981,1.186,0.55965,1.8821,1.166,1.5115,0.6282,1.0543,0.67849,0.94511,1.8345,1.4301,0,0,0,0
22,2.4663,2.029,1.4354,1.8467,1.6297,2.0591,1.1012,1.6205,1.4648,1.4575,2.3543,2.1474,0,0,0,0
23,2.0114,1.8059,0.83733,1.6832,1.7857,1.6937,1.226,1.547,1.7795,1.2003,2.1357,1.7365,0,0,0,0
24,3.5052,3.609,2.985,2.8617,3.1326,3.5909,2.6716,2.3095,3.093,2.8096,3.5061,3.8238,0,0,0,0
